‘ª’èŽžŠÔ	T1Raw	T2Raw	T3Raw	T4Raw	
       236	0.00176389	-0.01981810	-0.00210154	-0.00628909	
       237	0.00176389	-0.02207294	-0.00049095	-0.00145731	
       238	0.00208601	0.01142746	-0.00242366	-0.00145731	
       239	0.00079753	0.02721131	-0.00081307	0.00111965	
       240	0.00144177	0.01754773	-0.00049095	-0.00274578	
       241	0.00079753	0.00691779	0.00144177	-0.00467850	
       242	-0.00049095	0.03107674	0.00369660	0.00047541	
       243	0.00176389	0.00015329	0.00530720	-0.00145731	
       244	0.00176389	-0.00177943	0.00434084	-0.00339002	
       245	0.00240812	-0.00628909	0.00530720	-0.00854393	
       246	-0.00113519	0.00852839	-0.00403426	0.00015329	
       247	-0.00145731	0.00820627	-0.00339002	0.00176389	
       248	0.00047541	0.00498508	-0.00145731	0.00176389	
       249	-0.00145731	0.00595144	-0.00145731	-0.00210154	
       250	-0.00145731	0.00176389	-0.00435638	0.00079753	
       251	0.00466296	-0.01788539	-0.00886605	0.00047541	
       252	0.00401872	0.00562932	-0.01112088	-0.00081307	
       253	0.00337448	0.01336018	-0.00564486	-0.00049095	
       254	0.00144177	0.00627356	-0.00500062	0.00401872	
       255	0.00015329	-0.00177943	-0.00371214	0.00305236	
       256	-0.00177943	-0.00113519	-0.00242366	0.00562932	
       257	-0.00371214	-0.00532274	0.00176389	0.00369660	
       258	-0.00306790	-0.00435638	0.00305236	0.00111965	
       259	-0.00403426	-0.00500062	0.00305236	-0.00113519	
       260	-0.00049095	-0.01788539	0.00369660	-0.00016883	
       261	-0.00177943	-0.00242366	0.00466296	0.00176389	
       262	-0.00081307	0.03107674	0.00079753	0.00047541	
       263	-0.00145731	0.03751912	0.00401872	-0.00145731	
       264	-0.00145731	0.03043250	0.00498508	-0.00113519	
       265	-0.00628909	0.00852839	0.00144177	-0.00339002	
       266	-0.01595267	-0.01305360	0.00144177	-0.00177943	
       267	-0.00693333	-0.01917386	0.00240812	-0.00177943	
       268	-0.00693333	-0.00628909	-0.00081307	-0.00113519	
       269	-0.00596698	-0.00242366	-0.00113519	-0.00113519	
       270	-0.00339002	-0.00822181	-0.00177943	-0.00210154	
       271	-0.00274578	-0.01659691	-0.00306790	-0.00016883	
       272	-0.00306790	-0.00500062	-0.00564486	0.00144177	
       273	-0.00177943	-0.01079876	-0.00467850	0.00015329	
       274	0.00401872	-0.02593837	-0.00371214	0.00015329	
       275	0.00369660	-0.02271718	0.00111965	0.00273024	
       276	0.00530720	-0.00628909	-0.00210154	0.00240812	
       277	0.01078323	0.03558641	-0.00306790	0.00176389	
       278	0.00852839	0.05265873	-0.00274578	0.00144177	
       279	0.00788415	0.01883621	0.00530720	0.00079753	
       280	0.00047541	0.02044680	0.00337448	-0.00242366	
       281	0.00047541	0.00885051	0.00208601	-0.00339002	
       282	-0.00177943	-0.00339002	0.00176389	-0.00049095	
       283	-0.00049095	-0.00500062	0.00047541	0.00079753	
       284	0.00498508	-0.00016883	0.00047541	-0.00113519	
       285	0.00401872	-0.00177943	0.00047541	-0.00210154	
       286	0.00240812	-0.03399135	-0.00339002	-0.00564486	
       287	0.00208601	-0.06201572	-0.00210154	-0.00467850	
       288	-0.00306790	-0.03077016	-0.00210154	-0.00145731	
       289	-0.00693333	-0.03850102	-0.00145731	0.00176389	
       290	-0.00918817	-0.04558764	-0.00210154	0.00047541	
       291	-0.00725545	-0.04365492	-0.00693333	-0.00242366	
       292	-0.00886605	-0.02787108	-0.00532274	-0.00113519	
       293	-0.01240936	0.04170667	0.00305236	0.00369660	
       294	-0.00886605	0.05620204	-0.00049095	0.00369660	
       295	-0.00500062	0.03300945	-0.00145731	0.00369660	
       296	-0.00145731	0.05362509	-0.00145731	0.00111965	
       297	0.00144177	0.02688919	-0.00145731	0.00079753	
       298	0.00176389	-0.00371214	0.00144177	-0.00016883	
       299	-0.00113519	-0.00049095	0.00273024	0.00240812	
       300	-0.00113519	0.03912972	0.00273024	-0.00016883	
       301	0.00079753	0.03236521	0.00240812	-0.00145731	
       302	-0.00145731	0.02817766	0.00337448	-0.00339002	
       303	0.00208601	0.02302376	0.00240812	-0.00371214	
       304	0.00305236	0.03494217	0.00111965	-0.00274578	
       305	0.00337448	0.03011038	0.00595144	-0.00210154	
       306	0.00273024	-0.00886605	-0.00242366	-0.00274578	
       307	0.00659567	-0.00886605	-0.00145731	-0.00435638	
       308	0.01593713	-0.04913095	-0.00339002	-0.00403426	
       309	0.01851409	-0.06620327	-0.00371214	-0.00210154	
       310	0.01690349	-0.04655400	-0.00145731	-0.00210154	
       311	0.00756203	-0.04558764	-0.00177943	-0.00113519	
       312	0.00273024	-0.03850102	-0.00725545	0.01142746	
       313	-0.00016883	-0.01015453	-0.00339002	0.00434084	
       314	-0.00532274	-0.00339002	-0.00725545	0.00820627	
       315	-0.00371214	-0.01627479	-0.00403426	0.01046111	
       316	-0.00564486	-0.02110658	-0.00339002	0.00562932	
       317	-0.01756327	-0.03495771	0.00015329	0.00144177	
       318	-0.02046234	-0.03302499	0.00176389	-0.00306790	
       319	-0.01756327	-0.02754896	0.00401872	-0.00177943	
       320	-0.01401996	-0.01337572	0.00208601	-0.00113519	
       321	-0.01337572	0.01303806	0.00691779	0.00337448	
       322	-0.00951029	0.02978826	0.00369660	0.00401872	
       323	-0.00628909	0.04653846	0.00176389	-0.00049095	
       324	-0.00596698	0.05008177	0.00111965	0.00015329	
       325	-0.00339002	0.03172098	0.00273024	-0.00210154	
       326	-0.00145731	0.03558641	0.00240812	-0.00210154	
       327	-0.00306790	0.04428363	0.00369660	0.00047541	
       328	0.00208601	0.02173528	-0.00242366	0.00015329	
       329	0.00273024	0.01786985	-0.00339002	-0.00564486	
       330	0.00144177	0.01915833	-0.00500062	-0.00822181	
       331	0.00369660	0.01851409	-0.00789969	-0.00177943	
       332	0.00240812	0.00337448	-0.00628909	0.00079753	
       333	0.00466296	0.00079753	0.00176389	0.00144177	
       334	0.00305236	0.00305236	-0.00210154	-0.00016883	
       335	0.00691779	0.00273024	-0.00049095	0.00208601	
       336	0.00595144	0.00788415	-0.00016883	-0.00016883	
       337	0.00466296	0.00595144	-0.00177943	-0.00016883	
       338	0.00627356	0.00208601	-0.00113519	0.00273024	
       339	0.00337448	0.01561501	-0.00113519	-0.00081307	
       340	0.00466296	0.00466296	-0.00049095	-0.00016883	
       341	0.00144177	-0.01079876	-0.00177943	0.00176389	
       342	0.00434084	-0.02432777	-0.00113519	0.00240812	
       343	0.00466296	-0.02175082	-0.00145731	-0.00145731	
       344	0.00691779	-0.02787108	0.00015329	-0.00145731	
       345	0.00176389	-0.00725545	-0.00113519	-0.00081307	
       346	-0.00306790	-0.00274578	-0.00177943	0.00047541	
       347	-0.00757757	-0.00596698	-0.00145731	-0.00049095	
       348	-0.00145731	-0.01337572	-0.00242366	-0.00145731	
       349	-0.00016883	-0.01401996	-0.00049095	-0.00467850	
       350	0.00176389	-0.00596698	0.00047541	-0.00306790	
       351	-0.00177943	-0.00403426	-0.00210154	-0.00145731	
       352	0.00111965	-0.00757757	-0.00467850	0.00079753	
       353	0.00530720	-0.02561625	-0.00210154	-0.00049095	
       354	0.00208601	-0.00274578	-0.00435638	-0.00049095	
       355	-0.00177943	-0.00564486	0.00176389	0.00917263	
       356	0.00047541	-0.00789969	0.00401872	0.00498508	
       357	-0.00339002	-0.00693333	0.00305236	0.00047541	
       358	-0.00242366	-0.00596698	0.00176389	-0.00081307	
       359	-0.00435638	0.01239382	-0.00081307	0.00144177	
       360	-0.00532274	0.02817766	0.00273024	-0.00113519	
       361	-0.00016883	-0.01659691	0.00595144	-0.00113519	
       362	0.00434084	0.00917263	0.00498508	-0.00081307	
       363	0.00723991	-0.00145731	0.00401872	-0.00177943	
       364	0.00208601	0.00434084	0.00079753	-0.00274578	
       365	-0.00016883	-0.00177943	0.00079753	-0.00210154	
       366	0.00015329	-0.01756327	-0.00016883	-0.00403426	
       367	-0.00113519	-0.02561625	-0.00113519	-0.00177943	
       368	-0.00081307	-0.00016883	-0.00177943	-0.00113519	
       369	-0.00306790	0.00917263	-0.00596698	0.00047541	
       370	-0.00145731	-0.01852963	-0.00306790	0.00015329	
       371	-0.00596698	-0.02497201	-0.00435638	-0.00081307	
       372	-0.00822181	-0.00177943	-0.00339002	0.00337448	
       373	-0.02014022	0.01625925	-0.00403426	0.00369660	
       374	-0.00983241	0.00176389	-0.00145731	0.00434084	
       375	-0.00177943	-0.00403426	0.00015329	0.00466296	
       376	-0.00145731	0.00305236	0.00208601	0.00305236	
       377	-0.00274578	0.00659567	-0.00016883	-0.00113519	
       378	-0.00596698	0.01271594	0.00047541	0.00047541	
       379	-0.00564486	0.01110534	-0.00274578	-0.00145731	
       380	-0.00532274	-0.00210154	-0.00049095	-0.00016883	
       381	-0.00500062	-0.00661121	0.00240812	-0.00242366	
       382	-0.00339002	0.00305236	-0.00049095	-0.00500062	
       383	-0.00467850	0.00788415	0.00047541	-0.00081307	
       384	0.00111965	0.01013899	0.00273024	0.00240812	
       385	-0.00016883	0.01786985	-0.00049095	-0.00016883	
       386	0.00273024	0.02495647	-0.00306790	-0.00016883	
       387	-0.00049095	0.02560071	-0.00210154	0.00144177	
       388	-0.00274578	0.01464866	-0.00371214	0.00434084	
       389	-0.00274578	0.00595144	-0.00242366	0.00047541	
       390	-0.00500062	-0.00596698	-0.00016883	0.00047541	
       391	-0.00564486	-0.01498631	-0.00016883	0.00337448	
       392	-0.00339002	-0.00467850	-0.00049095	0.00691779	
       393	0.00273024	0.00434084	0.00079753	0.00466296	
       394	0.00562932	-0.02014022	-0.00435638	-0.00016883	
       395	0.00144177	-0.01563055	-0.00596698	-0.00049095	
       396	0.00079753	-0.00725545	-0.00113519	-0.00371214	
       397	-0.00113519	0.00530720	0.00047541	-0.00242366	
       398	0.00208601	-0.00339002	0.00273024	-0.00274578	
       399	0.00788415	-0.01691903	0.00047541	-0.00371214	
       400	0.00723991	-0.02883744	0.00047541	-0.00242366	
       401	0.00627356	-0.01240936	0.00369660	-0.00274578	
       402	0.00885051	-0.00789969	0.00273024	-0.00467850	
       403	0.00691779	-0.01820751	0.00176389	-0.00403426	
       404	0.00788415	-0.01208724	0.00627356	-0.00371214	
       405	0.01078323	-0.01724115	0.00562932	-0.00371214	
       406	0.00691779	0.01271594	0.00176389	-0.00339002	
       407	0.00273024	0.02817766	-0.00081307	0.00885051	
       408	0.00691779	0.00788415	-0.00274578	0.00176389	
       409	0.01013899	-0.00081307	-0.00725545	0.00079753	
       410	0.00691779	-0.00951029	-0.00918817	-0.00435638	
       411	0.00111965	0.00015329	-0.00467850	0.00176389	
       412	0.00530720	-0.00113519	-0.00467850	0.00401872	
       413	-0.00113519	0.02076892	-0.00274578	0.00079753	
       414	-0.01434208	0.01464866	-0.00113519	-0.00081307	
       415	-0.00886605	0.02882190	-0.00081307	0.00401872	
       416	-0.00242366	0.04106243	-0.00016883	-0.00081307	
       417	0.00015329	0.03429793	-0.00274578	-0.00403426	
       418	0.00015329	0.02946614	-0.00339002	-0.00339002	
       419	0.00015329	-0.03624618	0.00240812	-0.00145731	
       420	-0.00177943	-0.02336141	0.00176389	-0.00145731	
       421	-0.00177943	0.00208601	0.00627356	-0.00049095	
       422	-0.00403426	-0.00822181	0.00498508	0.00015329	
       423	-0.00145731	-0.01530843	0.00111965	0.00208601	
       424	-0.00371214	-0.00951029	0.00240812	0.00176389	
       425	-0.00210154	0.00176389	0.00144177	0.00305236	
       426	-0.00435638	0.01464866	0.00079753	0.00079753	
       427	-0.00339002	0.01915833	0.00079753	-0.00049095	
       428	-0.00467850	0.02882190	-0.00016883	0.00305236	
       430	-0.00628909	0.03139886	-0.00339002	0.00111965	
       430	-0.00467850	0.01336018	-0.00016883	-0.00145731	
       431	-0.00757757	-0.01627479	0.00176389	-0.00242366	
       432	-0.00403426	-0.01530843	0.00079753	-0.00371214	
       433	-0.00403426	-0.01273148	-0.00242366	0.00305236	
       434	-0.00435638	-0.01401996	-0.00467850	0.00434084	
       435	-0.00500062	-0.01112088	-0.00242366	0.00337448	
       436	-0.00016883	-0.02368353	-0.00500062	0.00015329	
       437	0.00144177	-0.03527983	-0.00145731	0.00047541	
       438	0.00595144	-0.02175082	-0.00177943	-0.00532274	
       440	0.00885051	-0.02722684	-0.00210154	-0.00596698	
       441	0.01013899	-0.01595267	0.00176389	-0.00435638	
       442	0.00917263	-0.01820751	0.00369660	-0.00500062	
       443	0.00659567	0.00079753	0.00305236	-0.00210154	
       444	0.00498508	0.02978826	0.00111965	-0.00113519	
       445	0.00337448	0.01464866	0.00015329	-0.00049095	
       446	-0.00081307	0.00530720	0.00047541	0.00047541	
       447	-0.00371214	0.00337448	0.00240812	0.00015329	
       448	-0.00339002	0.00401872	0.00079753	-0.00177943	
       449	-0.00757757	0.00369660	-0.00145731	-0.00242366	
       450	-0.00371214	0.00305236	-0.00564486	0.00015329	
       450	-0.00210154	0.00788415	-0.00596698	-0.00274578	
       451	-0.00242366	0.01497078	-0.00564486	-0.00210154	
       452	-0.00339002	0.00917263	-0.00532274	0.00079753	
